id,user_id,sport,sport_class,sport_source,is_pumpfoil
999,98,open_water,pumpfoil,default,True
1000,98,open_water,pumpfoil,default,True
1001,98,open_water,pumpfoil,default,True
1003,98,open_water,pumpfoil,default,True
1006,87,pumpfoil,pumpfoil,default,True
1019,28,pumpfoil,pumpfoil,default,True
1031,69,open_water,pumpfoil,default,True
1033,135,generic,pumpfoil,default,True
1040,87,pumpfoil,pumpfoil,default,True
1041,135,running,pumpfoil,default,False
1042,135,running,pumpfoil,default,False
1043,135,running,pumpfoil,default,False
1044,135,pumpfoil,pumpfoil,default,True
1045,135,pumpfoil,pumpfoil,default,True
1046,135,pumpfoil,pumpfoil,default,True
1047,135,pumpfoil,pumpfoil,default,False
1048,135,running,pumpfoil,default,False
1049,135,running,pumpfoil,default,False
1050,135,pumpfoil,pumpfoil,default,False
1051,135,pumpfoil,wingfoil,owner,False
1052,135,windsurfing,wingfoil,admin,False
1053,135,windsurfing,pumpfoil,auto,True
1054,135,running,pumpfoil,default,False
1055,135,windsurfing,pumpfoil,auto,False
1056,135,running,pumpfoil,default,False
1057,135,kitesurfing,pumpfoil,default,True
1059,135,kitesurfing,pumpfoil,default,False
1060,135,kitesurfing,pumpfoil,default,True
1061,135,windsurfing,pumpfoil,auto,False
1062,135,windsurfing,pumpfoil,auto,True
1063,135,windsurfing,pumpfoil,auto,False
1064,135,windsurfing,pumpfoil,default,True
1065,135,windsurfing,pumpfoil,default,True
1066,135,kitesurfing,pumpfoil,default,True
1067,135,kitesurfing,pumpfoil,default,True
1068,135,windsurfing,pumpfoil,auto,False
1069,135,windsurfing,pumpfoil,auto,True
1070,135,running,pumpfoil,default,False
1071,135,kitesurfing,pumpfoil,default,True
1072,135,kitesurfing,pumpfoil,default,True
1073,135,kitesurfing,pumpfoil,default,True
1074,135,running,pumpfoil,default,False
1075,135,windsurfing,pumpfoil,auto,False
1076,135,running,pumpfoil,default,False
1077,135,generic,pumpfoil,default,True
1078,135,generic,pumpfoil,default,True
1080,135,generic,pumpfoil,default,True
1081,135,generic,pumpfoil,auto,False
1082,135,generic,pumpfoil,auto,False
1083,135,generic,pumpfoil,auto,True
1085,135,generic,pumpfoil,default,True
1087,135,generic,pumpfoil,default,True
1088,135,generic,pumpfoil,default,True
1089,135,generic,pumpfoil,default,True
1090,135,generic,pumpfoil,default,True
1091,135,generic,wingfoil,admin,False
1092,135,generic,pumpfoil,default,True
1093,135,generic,pumpfoil,default,False
1094,135,generic,pumpfoil,default,True
1095,135,generic,pumpfoil,default,True
1096,135,generic,pumpfoil,default,True
1097,135,walking,pumpfoil,default,False
1099,135,kitesurfing,pumpfoil,auto,False
1100,135,running,pumpfoil,default,False
1101,135,running,pumpfoil,default,False
1102,135,alpine_skiing,pumpfoil,default,False
1103,135,generic,pumpfoil,default,True
1104,135,generic,pumpfoil,default,True
1105,135,generic,pumpfoil,default,False
1106,135,generic,pumpfoil,default,True
1107,135,generic,pumpfoil,default,False
1108,135,generic,pumpfoil,default,True
1109,135,generic,pumpfoil,default,True
1111,135,generic,pumpfoil,default,True
1112,135,generic,pumpfoil,default,False
1113,135,generic,pumpfoil,default,True
1114,135,generic,pumpfoil,default,True
1115,135,generic,pumpfoil,default,True
1116,135,generic,pumpfoil,default,True
1117,135,generic,pumpfoil,default,True
1119,135,generic,pumpfoil,default,True
1120,135,generic,pumpfoil,auto,False
1121,135,cross_country_skiing,pumpfoil,default,False
1122,135,cross_country_skiing,pumpfoil,default,False
1123,135,cross_country_skiing,pumpfoil,default,False
1124,135,cross_country_skiing,pumpfoil,default,False
1125,135,generic,pumpfoil,default,True
1126,135,generic,pumpfoil,auto,False
1127,135,generic,pumpfoil,default,True
1128,135,generic,pumpfoil,default,True
1129,135,generic,pumpfoil,default,True
1130,135,running,pumpfoil,default,False
1133,135,generic,pumpfoil,auto,False
1134,135,cycling,pumpfoil,default,False
1135,135,generic,pumpfoil,default,True
1136,135,generic,pumpfoil,auto,False
1137,135,generic,pumpfoil,default,True
1138,135,generic,pumpfoil,default,True
1143,135,hiking,pumpfoil,default,False
1147,135,hiking,pumpfoil,default,False
1150,135,generic,pumpfoil,default,True
1151,135,generic,pumpfoil,default,True
1152,135,generic,pumpfoil,auto,False
1154,135,generic,pumpfoil,default,True
1155,135,generic,pumpfoil,default,False
1157,135,generic,pumpfoil,default,True
1158,135,generic,pumpfoil,default,True
1159,135,generic,pumpfoil,default,True
1161,135,generic,pumpfoil,default,True
1162,135,generic,pumpfoil,auto,True
1164,135,walking,pumpfoil,default,False
1165,135,generic,pumpfoil,default,True
1167,135,walking,pumpfoil,default,False
1168,135,generic,pumpfoil,default,False
1169,135,generic,pumpfoil,default,True
1170,135,generic,pumpfoil,auto,True
1171,135,generic,pumpfoil,default,True
1173,135,generic,pumpfoil,default,True
1174,135,generic,pumpfoil,auto,False
1176,135,open_water,pumpfoil,default,True
1178,135,open_water,pumpfoil,default,True
1179,135,open_water,pumpfoil,default,True
1180,135,generic,pumpfoil,auto,False
1181,135,open_water,pumpfoil,default,True
1182,135,open_water,pumpfoil,default,True
1184,135,open_water,pumpfoil,default,True
1185,135,open_water,pumpfoil,default,True
1186,135,open_water,pumpfoil,default,True
1187,135,open_water,pumpfoil,default,True
1188,135,open_water,pumpfoil,default,True
1189,135,open_water,pumpfoil,default,True
1190,135,generic,pumpfoil,default,False
1191,135,generic,pumpfoil,default,True
1192,135,generic,pumpfoil,auto,True
1193,135,generic,pumpfoil,auto,True
1194,135,generic,pumpfoil,auto,True
1196,135,generic,pumpfoil,auto,False
1197,135,generic,pumpfoil,default,False
1198,135,generic,pumpfoil,auto,True
1199,135,generic,pumpfoil,default,True
1200,135,generic,pumpfoil,auto,False
1202,135,generic,pumpfoil,default,True
1203,135,generic,pumpfoil,default,True
1204,135,generic,pumpfoil,auto,False
1205,135,generic,pumpfoil,default,True
1206,135,generic,pumpfoil,default,True
1208,135,generic,pumpfoil,default,True
1210,135,generic,pumpfoil,default,True
1211,135,generic,pumpfoil,default,True
1212,135,generic,pumpfoil,default,True
1218,135,generic,pumpfoil,auto,False
1219,135,generic,pumpfoil,default,True
1220,135,generic,pumpfoil,default,True
1221,135,generic,pumpfoil,default,True
1222,135,generic,pumpfoil,auto,True
1224,135,generic,pumpfoil,default,False
1239,139,surfing,pumpfoil,default,True
1240,139,surfing,pumpfoil,default,True
1241,139,surfing,pumpfoil,default,True
1242,139,track_me,pumpfoil,default,False
1243,139,track_me,pumpfoil,default,False
1246,95,pumpfoil,pumpfoil,default,True
1247,95,pumpfoil,pumpfoil,default,True
1248,95,pumpfoil,pumpfoil,default,True
1249,95,pumpfoil,pumpfoil,default,True
1250,95,pumpfoil,pumpfoil,default,True
1251,95,pumpfoil,pumpfoil,default,True
1252,95,pumpfoil,pumpfoil,default,True
1253,95,pumpfoil,pumpfoil,default,True
1254,95,pumpfoil,pumpfoil,admin,False
1255,95,pumpfoil,pumpfoil,admin,True
1256,95,pumpfoil,pumpfoil,default,True
1257,95,pumpfoil,pumpfoil,default,True
1258,95,pumpfoil,pumpfoil,default,True
1259,95,pumpfoil,pumpfoil,default,True
1260,95,pumpfoil,pumpfoil,default,True
1261,95,pumpfoil,pumpfoil,default,True
1262,95,pumpfoil,pumpfoil,auto,True
1263,95,pumpfoil,pumpfoil,default,True
1264,95,pumpfoil,pumpfoil,default,True
1265,95,pumpfoil,pumpfoil,default,True
1266,95,pumpfoil,pumpfoil,default,True
1267,95,pumpfoil,pumpfoil,default,True
1268,95,pumpfoil,pumpfoil,default,True
1269,95,pumpfoil,pumpfoil,default,True
1270,95,pumpfoil,pumpfoil,default,True
1271,95,pumpfoil,pumpfoil,default,True
1272,95,pumpfoil,pumpfoil,default,True
1273,95,pumpfoil,pumpfoil,default,True
1274,95,pumpfoil,pumpfoil,default,True
1275,95,pumpfoil,pumpfoil,default,True
1276,95,pumpfoil,pumpfoil,default,True
